bin, frequency
1, 311623
2, 999
3, 1085
4, 1081
5, 973
6, 966
7, 1139
8, 1080
9, 987
10, 1056
11, 1108
12, 1063
13, 979
14, 915
15, 1038
16, 943
17, 1161
18, 1069
19, 1146
20, 1017
21, 1
