bin, frequency
1, 27975
2, 90974
3, 108586
4, 92811
5, 66337
6, 42914
7, 26106
8, 15519
9, 8629
10, 4979
11, 2493
12, 1422
13, 786
14, 421
15, 189
16, 124
17, 62
18, 25
19, 26
20, 1
21, 3
