bin, radial density
1, 0.047402
2, 0.260705
3, 0.442549
4, 0.530068
5, 0.535469
6, 0.488819
7, 0.417219
8, 0.339448
9, 0.266442
10, 0.203388
11, 0.151835
12, 0.111302
13, 0.080360
14, 0.057280
15, 0.040382
16, 0.028198
17, 0.019527
18, 0.013424
19, 0.009167
20, 0.006224
21, 0.004204
