bin, frequency
1, 26798
2, 90471
3, 106334
4, 90236
5, 65881
6, 44183
7, 28012
8, 16703
9, 9627
10, 5313
11, 2805
12, 1416
13, 798
14, 436
15, 162
16, 85
17, 69
18, 28
19, 13
20, 3
21, 1
