time, local energy
441, -3.885517
442, -3.886636
443, -3.886696
444, -3.885275
445, -3.888821
447, -3.893521
448, -3.897125
449, -3.893003
450, -3.888140
451, -3.883228
452, -3.886242
453, -3.884111
454, -3.883907
455, -3.880437
456, -3.877223
457, -3.877839
459, -3.881973
460, -3.881616
461, -3.878838
462, -3.880984
465, -3.878747
467, -3.880558
468, -3.886611
469, -3.888047
470, -3.891442
471, -3.886655
473, -3.882508
474, -3.880076
475, -3.879223
477, -3.875254
478, -3.879811
479, -3.878459
481, -3.882471
482, -3.886714
483, -3.882003
484, -3.887421
485, -3.883500
487, -3.879133
488, -3.873948
490, -3.872155
491, -3.871674
494, -3.868655
496, -3.867864
497, -3.866485
498, -3.868925
499, -3.861291
500, -3.861172
501, -3.860969
502, -3.858827
503, -3.854676
504, -3.856374
505, -3.852872
506, -3.854286
509, -3.853720
510, -3.855992
512, -3.858862
513, -3.862992
514, -3.864367
515, -3.863145
516, -3.868379
517, -3.866257
518, -3.868876
519, -3.873161
521, -3.871250
525, -3.874377
526, -3.872952
527, -3.875498
528, -3.871308
530, -3.868832
532, -3.868974
533, -3.867744
534, -3.868473
535, -3.869304
536, -3.865343
537, -3.870979
538, -3.868633
539, -3.872309
540, -3.872973
542, -3.871049
543, -3.868181
544, -3.867112
547, -3.866931
548, -3.862175
549, -3.859329
550, -3.860987
552, -3.864440
553, -3.866648
555, -3.866591
556, -3.867796
557, -3.865298
558, -3.868221
559, -3.870612
561, -3.874268
562, -3.876476
563, -3.876045
565, -3.873415
566, -3.869961
567, -3.871335
568, -3.876341
569, -3.880322
570, -3.878074
571, -3.879016
572, -3.879638
573, -3.879232
574, -3.875943
575, -3.871840
577, -3.871091
578, -3.872159
579, -3.871006
580, -3.870927
581, -3.871779
582, -3.864238
584, -3.862040
586, -3.865998
590, -3.868731
591, -3.873895
594, -3.872055
595, -3.861899
596, -3.865317
597, -3.867700
598, -3.870363
599, -3.869607
600, -3.872090
601, -3.876717
602, -3.877272
603, -3.876173
604, -3.871088
605, -3.866679
606, -3.866941
607, -3.875447
608, -3.879222
610, -3.875526
611, -3.874345
612, -3.873240
613, -3.868605
614, -3.869510
615, -3.867663
616, -3.866334
617, -3.863457
618, -3.866566
619, -3.867058
620, -3.870040
621, -3.869738
622, -3.867867
623, -3.861950
624, -3.865277
625, -3.861211
627, -3.862703
628, -3.865849
629, -3.870765
630, -3.873277
631, -3.874819
632, -3.874167
633, -3.874188
634, -3.873420
635, -3.872713
636, -3.872749
638, -3.871143
639, -3.867480
642, -3.870042
643, -3.866533
644, -3.870874
645, -3.866468
646, -3.866219
647, -3.870200
648, -3.865172
650, -3.870805
651, -3.869627
652, -3.864257
655, -3.865405
657, -3.868727
659, -3.874138
660, -3.874119
661, -3.876304
662, -3.879316
663, -3.872284
664, -3.872255
665, -3.871439
666, -3.868788
667, -3.860996
668, -3.858268
669, -3.851855
670, -3.846908
671, -3.848805
672, -3.845240
673, -3.847164
675, -3.856329
676, -3.851675
677, -3.847389
678, -3.852558
679, -3.846334
680, -3.838878
681, -3.847116
682, -3.843401
684, -3.843111
685, -3.844948
687, -3.847322
689, -3.840531
690, -3.842375
691, -3.839687
692, -3.834630
693, -3.832172
694, -3.824173
695, -3.823379
696, -3.825388
697, -3.825410
698, -3.825972
700, -3.826318
701, -3.825103
702, -3.825544
703, -3.823989
704, -3.821933
705, -3.827083
707, -3.829090
708, -3.830903
709, -3.827026
710, -3.820726
711, -3.823751
712, -3.817806
713, -3.818621
715, -3.814062
716, -3.815376
717, -3.809661
720, -3.806148
721, -3.803903
724, -3.798433
725, -3.796902
727, -3.795306
729, -3.799544
730, -3.801876
732, -3.803358
733, -3.805272
734, -3.804166
735, -3.800713
736, -3.795829
737, -3.792710
738, -3.789938
739, -3.789091
740, -3.788245
741, -3.787932
744, -3.788069
745, -3.787720
746, -3.789820
747, -3.791028
748, -3.789378
749, -3.789220
751, -3.789931
753, -3.788914
754, -3.789949
755, -3.788927
756, -3.785792
757, -3.784454
759, -3.785566
760, -3.784379
762, -3.786030
763, -3.788886
764, -3.791594
765, -3.793981
766, -3.794918
768, -3.798827
769, -3.797781
770, -3.802610
771, -3.802041
772, -3.799184
775, -3.800908
776, -3.801716
778, -3.802779
779, -3.805176
782, -3.807076
783, -3.809213
784, -3.805752
785, -3.806233
786, -3.801959
787, -3.798327
788, -3.801125
789, -3.801853
790, -3.802602
791, -3.799967
792, -3.798226
795, -3.799241
797, -3.795919
799, -3.797338
800, -3.798026
801, -3.795178
802, -3.792199
803, -3.795780
806, -3.798193
808, -3.799654
809, -3.802957
810, -3.799730
811, -3.799925
812, -3.807043
814, -3.803047
816, -3.802741
817, -3.802777
818, -3.798689
820, -3.802438
821, -3.803188
822, -3.803390
823, -3.797229
824, -3.796883
825, -3.801730
826, -3.801529
828, -3.805181
830, -3.806485
831, -3.801071
834, -3.796828
836, -3.795781
837, -3.804174
838, -3.801198
839, -3.802361
840, -3.800993
841, -3.802438
842, -3.806987
843, -3.809369
844, -3.806674
845, -3.809987
846, -3.811478
848, -3.805606
849, -3.804509
850, -3.802008
851, -3.804838
852, -3.808700
853, -3.807191
854, -3.809751
855, -3.811155
856, -3.811566
857, -3.806189
860, -3.803680
861, -3.803714
862, -3.799804
865, -3.802487
866, -3.801252
867, -3.798914
868, -3.803997
869, -3.800196
870, -3.795449
871, -3.792471
872, -3.787758
873, -3.788407
874, -3.782604
877, -3.782752
878, -3.788631
879, -3.791455
881, -3.789801
882, -3.791547
883, -3.788995
885, -3.786906
886, -3.789786
887, -3.791613
888, -3.790755
889, -3.790794
891, -3.796939
892, -3.795654
894, -3.798888
895, -3.803832
897, -3.806744
898, -3.804366
899, -3.799724
900, -3.800162
901, -3.800301
902, -3.801897
903, -3.803934
904, -3.795604
905, -3.791155
906, -3.791388
907, -3.791229
908, -3.789724
909, -3.795266
913, -3.801787
916, -3.799960
917, -3.796762
918, -3.799093
919, -3.808225
920, -3.804653
924, -3.803336
925, -3.802012
926, -3.790186
927, -3.797051
928, -3.792819
930, -3.789018
931, -3.791621
