bin, radial density
1, 0.046243
2, 0.256094
3, 0.437727
4, 0.527918
5, 0.536985
6, 0.493594
7, 0.424207
8, 0.347521
9, 0.274665
10, 0.211115
11, 0.158693
12, 0.117134
13, 0.085155
14, 0.061118
15, 0.043385
16, 0.030505
17, 0.021271
18, 0.014723
19, 0.010125
20, 0.006922
21, 0.004707
