frequencies, power
-9.999889,0.000446
-9.999667,0.000745
-9.999444,0.002203
-9.999222,0.001132
-9.999000,0.000154
-9.998778,0.000308
-9.998556,0.000178
-9.998333,0.001186
-9.998111,0.000146
-9.997889,0.000753
-9.997667,0.001068
-9.997444,0.001219
-9.997222,0.000379
-9.997000,0.000767
-9.996778,0.000601
-9.996556,0.002491
-9.996333,0.001259
-9.996111,0.001168
-9.995889,0.000523
-9.995667,0.000288
-9.995444,0.002515
-9.995222,0.001136
-9.995000,0.001150
-9.994778,0.000226
-9.994556,0.000838
-9.994333,0.000490
-9.994111,0.001600
-9.993889,0.000212
-9.993667,0.000790
-9.993445,0.000905
-9.993222,0.001498
-9.993000,0.000732
-9.992778,0.000429
-9.992556,0.001439
-9.992333,0.000480
-9.992111,0.001282
-9.991889,0.002285
-9.991667,0.002752
-9.991445,0.000546
-9.991222,0.000340
-9.991000,0.000796
-9.990778,0.000383
-9.990556,0.000698
-9.990333,0.000314
-9.990111,0.000087
-9.989889,0.000005
-9.989667,0.000110
-9.989445,0.000026
-9.989222,0.001255
-9.989000,0.000241
-9.988778,0.000083
-9.988556,0.000407
-9.988333,0.000125
-9.988111,0.000183
-9.987889,0.000602
-9.987667,0.000668
-9.987445,0.001442
-9.987222,0.000245
-9.987000,0.000985
-9.986778,0.000774
-9.986556,0.001545
-9.986333,0.000222
-9.986111,0.000089
-9.985889,0.000607
-9.985667,0.002955
-9.985445,0.000223
-9.985222,0.003877
-9.985000,0.000480
-9.984778,0.000909
-9.984556,0.000374
-9.984334,0.000009
-9.984111,0.002699
-9.983889,0.004212
-9.983667,0.001504
-9.983445,0.000813
-9.983222,0.001519
-9.983000,0.000588
-9.982778,0.001901
-9.982556,0.002624
-9.982334,0.000853
-9.982111,0.000088
-9.981889,0.000223
-9.981667,0.000229
-9.981445,0.001033
-9.981222,0.001587
-9.981000,0.001336
-9.980778,0.001309
-9.980556,0.001862
-9.980334,0.001903
-9.980111,0.000109
-9.979889,0.000029
-9.979667,0.001747
-9.979445,0.000419
-9.979222,0.000054
-9.979000,0.000580
-9.978778,0.001921
-9.978556,0.000545
-9.978334,0.000591
-9.978111,0.002117
-9.977889,0.001674
-9.977667,0.000006
-9.977445,0.000585
-9.977222,0.000718
-9.977000,0.002034
-9.976778,0.000306
-9.976556,0.000101
-9.976334,0.000460
-9.976111,0.000712
-9.975889,0.000185
-9.975667,0.002223
-9.975445,0.000064
-9.975222,0.000980
-9.975000,0.000008
-9.974778,0.001166
-9.974556,0.001090
-9.974334,0.000986
-9.974111,0.001172
-9.973889,0.002691
-9.973667,0.003107
-9.973445,0.000615
-9.973223,0.000272
-9.973000,0.000371
-9.972778,0.001727
-9.972556,0.001257
-9.972334,0.000590
-9.972111,0.000538
-9.971889,0.000451
-9.971667,0.000820
-9.971445,0.000011
-9.971223,0.000222
-9.971000,0.001002
-9.970778,0.000420
-9.970556,0.001254
-9.970334,0.000268
-9.970111,0.000177
-9.969889,0.000326
-9.969667,0.000201
-9.969445,0.000341
-9.969223,0.000065
-9.969000,0.000024
-9.968778,0.001166
-9.968556,0.000034
-9.968334,0.000536
-9.968111,0.000348
-9.967889,0.000093
-9.967667,0.000703
-9.967445,0.001334
-9.967223,0.000933
-9.967000,0.000053
-9.966778,0.000541
-9.966556,0.001067
-9.966334,0.000254
-9.966111,0.000121
-9.965889,0.001175
-9.965667,0.001863
-9.965445,0.000123
-9.965223,0.000914
-9.965000,0.000498
-9.964778,0.000241
-9.964556,0.000368
-9.964334,0.001346
-9.964112,0.000543
-9.963889,0.000890
-9.963667,0.002451
-9.963445,0.000276
-9.963223,0.000584
-9.963000,0.000259
-9.962778,0.000694
-9.962556,0.001290
-9.962334,0.000101
-9.962112,0.000873
-9.961889,0.000025
-9.961667,0.000260
-9.961445,0.000128
-9.961223,0.001422
-9.961000,0.001460
-9.960778,0.000432
-9.960556,0.002435
-9.960334,0.000983
-9.960112,0.001558
-9.959889,0.002663
-9.959667,0.000744
-9.959445,0.000615
-9.959223,0.000384
-9.959000,0.002052
-9.958778,0.000701
-9.958556,0.000372
-9.958334,0.000746
-9.958112,0.000279
-9.957889,0.000700
-9.957667,0.000563
-9.957445,0.000598
-9.957223,0.000968
-9.957000,0.001446
-9.956778,0.000596
-9.956556,0.002707
-9.956334,0.000243
-9.956112,0.000124
-9.955889,0.000801
-9.955667,0.000075
-9.955445,0.000407
-9.955223,0.000400
-9.955000,0.000068
-9.954778,0.000345
-9.954556,0.001174
-9.954334,0.001955
-9.954112,0.000876
-9.953889,0.000247
-9.953667,0.000518
-9.953445,0.000181
-9.953223,0.000015
-9.953001,0.000494
-9.952778,0.000157
-9.952556,0.000631
-9.952334,0.004123
-9.952112,0.000116
-9.951889,0.000369
-9.951667,0.000124
-9.951445,0.001200
-9.951223,0.000869
-9.951001,0.000156
-9.950778,0.000034
-9.950556,0.000074
-9.950334,0.000003
-9.950112,0.000149
-9.949889,0.000449
-9.949667,0.000280
-9.949445,0.001741
-9.949223,0.000163
-9.949001,0.000189
-9.948778,0.000485
-9.948556,0.000194
-9.948334,0.000656
-9.948112,0.000402
-9.947889,0.000007
-9.947667,0.000481
-9.947445,0.000090
-9.947223,0.000466
-9.947001,0.000794
-9.946778,0.000721
-9.946556,0.000148
-9.946334,0.002281
-9.946112,0.000065
-9.945889,0.004657
-9.945667,0.002227
-9.945445,0.000289
-9.945223,0.000187
-9.945001,0.000485
-9.944778,0.000635
-9.944556,0.000606
-9.944334,0.001284
-9.944112,0.000156
-9.943890,0.001770
-9.943667,0.000705
-9.943445,0.000920
-9.943223,0.003324
-9.943001,0.000263
-9.942778,0.002444
-9.942556,0.001038
-9.942334,0.003473
-9.942112,0.000532
-9.941890,0.003835
-9.941667,0.002718
-9.941445,0.001197
-9.941223,0.000343
-9.941001,0.000012
-9.940778,0.000442
-9.940556,0.000393
-9.940334,0.000382
-9.940112,0.000940
-9.939890,0.000044
-9.939667,0.001131
-9.939445,0.001043
-9.939223,0.001844
-9.939001,0.003266
-9.938778,0.000998
-9.938556,0.000835
