bin, frequency
1, 21307
2, 74756
3, 95717
4, 89469
5, 70428
6, 51058
7, 33951
8, 21836
9, 13246
10, 7834
11, 4515
12, 2575
13, 1520
14, 784
15, 517
16, 287
17, 153
18, 65
19, 50
20, 20
21, 1
