bin, radial density
0, 0.275796
1, 0.970314
2, 1.053640
3, 0.807293
4, 0.521678
5, 0.304639
6, 0.166330
7, 0.086566
8, 0.043466
9, 0.021225
10, 0.010136
11, 0.004753
12, 0.002195
13, 0.001001
14, 0.000451
15, 0.000202
16, 0.000089
17, 0.000039
18, 0.000017
19, 0.000007
20, 0.000003
