time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
0.570000,-1013.473324,-2795.086088,0.000000
0.575000,-14281.861925,-2507.469664,0.000000
0.580000,-26120.253743,-2224.926557,0.000000
0.585000,-36561.906484,-1950.435824,0.000000
0.590000,-45650.528917,-1685.235660,0.000000
0.595000,-53437.297514,-1431.057477,0.000000
0.600000,-59978.687203,-1188.320660,0.000000
0.605000,-65337.551689,-959.111255,0.000000
0.610000,-69581.227956,-743.195240,0.000000
0.615000,-72780.298941,-542.060929,0.000000
0.620000,-75009.864538,-356.055472,0.000000
0.625000,-76344.812590,-184.770240,0.000000
0.630000,-76860.389298,-28.736321,0.000000
0.635000,-76631.831008,112.550940,0.000000
0.640000,-75733.176614,239.074526,0.000000
0.645000,-74238.249459,350.930933,0.000000
0.650000,-72219.913985,448.398056,0.000000
0.655000,-69747.740457,532.490092,0.000000
0.660000,-66888.650345,603.271000,0.000000
0.665000,-63706.937734,661.699032,0.000000
0.670000,-60262.102137,708.726349,0.000000
0.675000,-56610.609003,744.626197,0.000000
0.680000,-52806.324868,770.147479,0.000000
0.685000,-48898.342487,786.433593,0.000000
0.690000,-44932.104812,793.816207,0.000000
0.695000,-40949.324891,793.429275,0.000000
0.700000,-36987.002879,786.027381,0.000000
0.705000,-33077.283924,772.780933,0.000000
0.710000,-29251.020806,753.079593,0.000000
0.715000,-25536.451219,728.518966,0.000000
0.720000,-21954.741768,700.333280,0.000000
0.725000,-18524.011354,668.535019,0.000000
0.730000,-15261.229362,633.558683,0.000000
0.735000,-12180.258206,596.199564,0.000000
0.740000,-9291.365475,557.100235,0.000000
0.745000,-6603.138169,516.303753,0.000000
0.750000,-4120.555473,475.172440,0.000000
0.755000,-1844.527411,433.995290,0.000000
0.760000,225.151981,392.931962,-0.000000
0.765000,2089.961506,352.326028,-0.000000
0.770000,3753.242691,312.575942,-0.000000
0.775000,5220.203702,274.029645,-0.000000
0.780000,6496.370893,236.480717,-0.000000
0.785000,7588.528696,200.614928,-0.000000
0.790000,8505.129917,166.430366,-0.000000
0.795000,9255.147233,134.131508,-0.000000
0.800000,9849.005074,104.089382,-0.000000
0.805000,10295.813214,75.440629,-0.000000
0.810000,10605.797626,49.439927,-0.000000
0.815000,10789.667937,25.084285,-0.000000
0.820000,10857.971578,3.263710,-0.000000
0.825000,10822.163291,-16.513596,-0.000000
0.830000,10692.584462,-34.213148,-0.000000
0.835000,10479.816806,-49.773708,-0.000000
0.840000,10193.622322,-63.571844,-0.000000
0.845000,9843.497995,-75.352545,-0.000000
0.850000,9439.554343,-85.118862,-0.000000
0.855000,8990.322503,-93.481877,-0.000000
0.860000,8503.360408,-100.239427,-0.000000
0.865000,7986.256447,-105.571310,-0.000000
0.870000,7447.592435,-108.919905,-0.000000
0.875000,6894.838528,-111.246902,-0.000000
0.880000,6333.300305,-112.480702,-0.000000
0.885000,5769.843406,-112.082110,-0.000000
0.890000,5209.261234,-111.369110,-0.000000
0.895000,4656.358259,-109.085401,-0.000000
0.900000,4116.280502,-106.291057,-0.000000
0.905000,3592.234577,-102.733546,-0.000000
0.910000,3088.619546,-98.188637,-0.000000
0.915000,2608.517657,-93.381392,-0.000000
0.920000,2152.570236,-88.572673,-0.000000
0.925000,1721.449412,-83.502712,-0.000000
0.930000,1315.931481,-78.377667,-0.000000
0.935000,937.039441,-72.905718,-0.000000
0.940000,586.334806,-67.154468,-0.000000
0.945000,264.166181,-61.531519,-0.000000
0.950000,-28.569245,-55.436301,0.000000
0.955000,-291.811616,-49.764937,0.000000
0.960000,-527.045805,-44.267299,0.000000
0.965000,-735.210542,-38.968543,0.000000
0.970000,-916.477803,-33.546514,0.000000
0.975000,-1070.254677,-28.009610,0.000000
0.980000,-1197.683393,-23.024885,0.000000
0.985000,-1301.527870,-18.589774,0.000000
0.990000,-1383.440931,-14.274570,0.000000
0.995000,-1444.775244,-10.370695,0.000000
1.000000,-1487.383591,-6.796003,0.000000
1.005000,-1512.564675,-3.413036,0.000000
1.010000,-1521.284887,-0.223121,0.000000
1.015000,-1515.086478,2.550918,0.000000
1.020000,-1495.866706,4.982519,0.000000
1.025000,-1465.372132,7.060472,0.000000
1.030000,-1425.741657,8.642702,0.000000
1.035000,-1377.561392,10.468158,0.000000
1.040000,-1320.921594,12.027900,0.000000
1.045000,-1258.515364,12.792656,0.000000
1.050000,-1192.203392,13.588828,0.000000
1.055000,-1122.442602,14.177582,0.000000
1.060000,-1049.359463,14.914295,0.000000
1.065000,-972.808741,15.567145,0.000000
1.070000,-893.825753,15.897018,0.000000
1.075000,-813.498766,16.110366,0.000000
1.080000,-733.517916,15.776899,0.000000
1.085000,-654.746044,15.627070,0.000000
1.090000,-576.948386,15.394105,0.000000
1.095000,-500.662487,15.030921,0.000000
1.100000,-427.077158,14.328834,0.000000
1.105000,-356.835259,13.698390,0.000000
1.110000,-289.520117,13.161849,0.000000
1.115000,-226.502764,12.002582,0.000000
1.120000,-167.467841,11.557241,0.000000
1.125000,-112.632402,10.349208,0.000000
1.130000,-63.678462,9.210958,0.000000
1.135000,-19.760554,8.335081,0.000000
1.140000,18.813434,7.089988,-0.000000
1.145000,52.322489,6.303847,-0.000000
1.150000,80.565764,5.003431,-0.000000
1.155000,104.133753,4.420934,-0.000000
1.160000,124.499793,3.729568,-0.000000
1.165000,141.807449,3.197302,-0.000000
1.170000,156.256293,2.591428,-0.000000
1.175000,167.907486,2.079121,-0.000000
1.180000,176.611397,1.419602,-0.000000
1.185000,182.440003,0.927761,-0.000000
1.190000,186.329568,0.640784,-0.000000
1.195000,188.570404,0.272088,-0.000000
1.200000,189.231861,0.007908,-0.000000
1.205000,187.989771,-0.481731,-0.000000
1.210000,184.799893,-0.774539,-0.000000
1.215000,180.947344,-0.754407,-0.000000
1.220000,174.958753,-1.604741,-0.000000
1.225000,165.796344,-2.032191,-0.000000
