time (ms), velocity (mm/s)
5294.700000,-0.567264
5294.701000,-0.664213
5294.702000,-0.608034
5294.703000,-0.353343
5294.704000,-0.289319
5294.705000,-0.077133
5294.706000,-0.060703
5294.707000,0.011505
5294.708000,-0.149966
5294.709000,-0.047549
5294.710000,-0.043218
5294.711000,-0.200757
5294.712000,-0.132460
5294.713000,-0.124639
5294.714000,-0.084156
5294.715000,-0.040108
5294.716000,0.044554
5294.717000,0.134809
5294.718000,0.035790
5294.719000,0.273289
5294.720000,0.215399
5294.721000,0.227026
5294.722000,0.154464
5294.723000,0.105872
5294.724000,0.010217
5294.725000,-0.191445
5294.726000,-0.187837
5294.727000,-0.103695
5294.728000,-0.147343
5294.729000,-0.200787
5294.730000,-0.044162
5294.731000,0.014232
5294.732000,0.030521
5294.733000,-0.077016
5294.734000,-0.151810
5294.735000,-0.108994
5294.736000,0.093126
5294.737000,0.204134
5294.738000,0.116686
5294.739000,0.144998
5294.740000,0.029297
5294.741000,0.163060
5294.742000,0.225531
5294.743000,0.252151
5294.744000,0.101516
5294.745000,0.103612
5294.746000,0.090700
5294.747000,0.172539
5294.748000,0.004007
5294.749000,-0.173452
5294.750000,-0.008542
5294.751000,0.139202
5294.752000,0.204831
5294.753000,0.297345
5294.754000,0.288478
5294.755000,0.278369
5294.756000,0.404641
5294.757000,0.386433
5294.758000,0.353789
5294.759000,0.487661
5294.760000,0.493317
5294.761000,0.444384
5294.762000,0.449769
5294.763000,0.566716
5294.764000,0.445500
5294.765000,0.568094
5294.766000,0.517294
5294.767000,0.607373
5294.768000,0.546932
5294.769000,0.411326
5294.770000,0.545135
5294.771000,0.561948
5294.772000,0.704073
5294.773000,0.703550
5294.774000,0.668945
5294.775000,0.756650
5294.776000,0.834908
5294.777000,0.962763
5294.778000,1.101201
5294.779000,1.084343
5294.780000,1.247609
5294.781000,1.220282
5294.782000,1.314346
5294.783000,1.129622
5294.784000,1.273173
5294.785000,1.172780
5294.786000,1.122802
5294.787000,1.091562
5294.788000,1.225603
5294.789000,1.089058
5294.790000,1.013414
5294.791000,1.054162
5294.792000,0.853245
5294.793000,0.856851
5294.794000,0.957393
5294.795000,0.858216
5294.796000,0.739096
5294.797000,0.753129
5294.798000,0.658454
5294.799000,0.707908
5294.800000,0.604417
5294.801000,0.429925
5294.802000,0.469930
5294.803000,0.417086
5294.804000,0.352532
5294.805000,0.280684
5294.806000,0.139017
5294.807000,0.112283
5294.808000,0.057737
5294.809000,0.134683
5294.810000,0.169256
5294.811000,0.314076
5294.812000,0.403076
5294.813000,0.283049
5294.814000,0.258057
5294.815000,0.122979
5294.816000,0.194306
5294.817000,0.109083
5294.818000,0.058049
5294.819000,0.006800
5294.820000,-0.062357
5294.821000,-0.114216
5294.822000,-0.210506
5294.823000,-0.179994
5294.824000,-0.109083
5294.825000,-0.083562
5294.826000,0.005415
5294.827000,-0.158419
5294.828000,-0.265738
5294.829000,-0.249699
5294.830000,-0.237639
5294.831000,-0.125207
5294.832000,-0.265007
5294.833000,-0.310627
5294.834000,-0.236068
5294.835000,-0.250917
5294.836000,-0.268597
5294.837000,-0.359463
5294.838000,-0.195419
5294.839000,-0.116843
5294.840000,-0.056007
5294.841000,0.003622
5294.842000,0.114780
5294.843000,-0.147595
5294.844000,-0.106742
5294.845000,-0.089373
5294.846000,-0.232495
5294.847000,-0.287319
5294.848000,-0.228891
5294.849000,-0.374725
5294.850000,-0.437347
5294.851000,-0.546006
5294.852000,-0.579029
5294.853000,-0.376324
5294.854000,-0.355139
5294.855000,-0.481065
5294.856000,-0.435854
5294.857000,-0.461006
5294.858000,-0.461297
5294.859000,-0.461348
5294.860000,-0.401719
5294.861000,-0.364269
5294.862000,-0.115511
5294.863000,-0.348503
5294.864000,-0.372462
5294.865000,-0.558844
5294.866000,-0.609055
5294.867000,-0.810885
5294.868000,-0.753453
5294.869000,-0.705386
5294.870000,-0.581460
5294.871000,-0.487073
5294.872000,-0.381057
5294.873000,-0.389115
5294.874000,-0.474499
5294.875000,-0.479827
5294.876000,-0.525857
5294.877000,-0.315920
5294.878000,-0.460986
5294.879000,-0.571939
5294.880000,-0.354228
5294.881000,-0.103147
5294.882000,0.028405
5294.883000,0.149435
5294.884000,0.282132
5294.885000,0.118039
5294.886000,0.053221
5294.887000,0.074988
5294.888000,0.021338
5294.889000,0.093971
5294.890000,-0.089355
5294.891000,-0.091661
5294.892000,-0.122070
5294.893000,-0.147680
5294.894000,-0.197171
5294.895000,-0.269698
5294.896000,-0.358526
5294.897000,-0.386207
5294.898000,-0.447796
5294.899000,-0.300360
5294.900000,-0.263791
5294.901000,-0.252079
5294.902000,-0.338808
5294.903000,-0.419077
5294.904000,-0.450622
5294.905000,-0.513792
5294.906000,-0.404606
5294.907000,-0.380069
5294.908000,-0.525305
5294.909000,-0.512672
5294.910000,-0.628993
5294.911000,-0.743533
5294.912000,-0.827416
5294.913000,-0.947862
5294.914000,-0.822917
5294.915000,-0.901719
5294.916000,-1.097113
5294.917000,-1.205374
5294.918000,-1.332036
5294.919000,-1.269029
5294.920000,-1.312339
5294.921000,-1.422700
5294.922000,-1.344660
5294.923000,-1.339300
5294.924000,-1.318141
5294.925000,-1.319383
5294.926000,-1.377687
5294.927000,-1.456691
5294.928000,-1.524382
5294.929000,-1.487597
5294.930000,-1.475707
5294.931000,-1.321617
5294.932000,-1.235631
5294.933000,-1.262076
5294.934000,-1.416383
5294.935000,-1.468771
5294.936000,-1.402962
5294.937000,-1.453508
5294.938000,-1.320202
5294.939000,-1.213490
5294.940000,-1.196730
5294.941000,-1.118594
5294.942000,-1.023303
5294.943000,-1.075335
5294.944000,-1.082329
5294.945000,-1.185212
5294.946000,-1.126471
5294.947000,-1.289251
5294.948000,-1.131455
5294.949000,-1.046503
5294.950000,-0.982407
5294.951000,-0.874890
5294.952000,-0.833507
5294.953000,-0.725749
5294.954000,-0.761919
5294.955000,-0.676304
5294.956000,-0.650046
5294.957000,-0.708981
5294.958000,-0.682126
5294.959000,-0.574926
5294.960000,-0.786503
5294.961000,-0.575086
5294.962000,-0.719895
5294.963000,-0.668880
5294.964000,-0.689502
5294.965000,-0.587173
5294.966000,-0.677948
5294.967000,-0.721651
5294.968000,-0.743395
5294.969000,-0.883367
5294.970000,-1.005787
5294.971000,-0.811519
5294.972000,-0.765916
5294.973000,-0.710888
5294.974000,-0.646736
5294.975000,-0.426857
5294.976000,-0.317433
5294.977000,-0.367592
5294.978000,-0.072764
5294.979000,-0.004593
5294.980000,-0.062656
5294.981000,-0.051401
5294.982000,0.000998
5294.983000,0.068518
5294.984000,0.129740
5294.985000,0.261162
5294.986000,0.205119
5294.987000,0.157259
5294.988000,0.133863
5294.989000,0.014167
