time (ms), velocity (mm/s)
799.200000,0.302735
799.201000,0.339418
799.202000,0.320737
799.203000,0.350430
799.204000,0.361632
799.205000,0.218164
799.206000,0.048959
799.207000,0.160520
799.208000,0.287724
799.209000,0.317174
799.210000,0.411150
799.211000,0.290484
799.212000,0.385168
799.213000,0.511213
799.214000,0.482750
799.215000,0.514739
799.216000,0.408373
799.217000,0.276717
799.218000,0.304200
799.219000,0.304471
799.220000,0.332809
799.221000,0.312872
799.222000,0.477180
799.223000,0.694081
799.224000,0.619630
799.225000,0.579820
799.226000,0.596591
799.227000,0.488066
799.228000,0.445794
799.229000,0.409495
799.230000,0.285377
799.231000,0.235963
799.232000,0.165737
799.233000,0.217274
799.234000,0.004239
799.235000,0.144090
799.236000,0.056018
799.237000,0.087541
799.238000,-0.068760
799.239000,-0.108144
799.240000,0.004095
799.241000,0.117299
799.242000,0.171830
799.243000,0.316170
799.244000,0.071497
799.245000,0.102281
799.246000,0.194309
799.247000,0.239830
799.248000,0.277112
799.249000,0.192133
799.250000,0.040347
799.251000,0.233925
799.252000,0.397300
799.253000,0.349774
799.254000,0.488096
799.255000,0.423841
799.256000,0.382138
799.257000,0.359164
799.258000,0.324369
799.259000,0.186311
799.260000,0.124890
799.261000,0.172939
799.262000,0.280531
799.263000,0.329374
799.264000,0.256215
799.265000,0.296965
799.266000,0.281241
799.267000,0.334653
799.268000,0.197865
799.269000,0.202552
799.270000,0.007141
799.271000,0.113958
799.272000,-0.029580
799.273000,-0.065981
799.274000,-0.035948
799.275000,0.046634
799.276000,-0.027961
799.277000,-0.056573
799.278000,0.002076
799.279000,-0.056704
799.280000,-0.088141
799.281000,-0.168936
799.282000,-0.307707
799.283000,-0.403478
799.284000,-0.535985
799.285000,-0.500527
799.286000,-0.379297
799.287000,-0.672290
799.288000,-0.826255
799.289000,-0.744007
799.290000,-0.925664
799.291000,-0.626498
799.292000,-0.809832
799.293000,-0.782072
799.294000,-0.843613
799.295000,-0.787889
799.296000,-0.863688
799.297000,-0.775440
799.298000,-0.716328
799.299000,-0.699884
799.300000,-0.585924
799.301000,-0.607608
799.302000,-0.622388
799.303000,-0.675143
799.304000,-0.626296
799.305000,-0.417850
799.306000,-0.429380
799.307000,-0.276279
799.308000,-0.280620
799.309000,-0.384532
799.310000,-0.315069
799.311000,-0.384806
799.312000,-0.379357
799.313000,-0.232066
799.314000,-0.276177
799.315000,-0.255034
799.316000,-0.298624
799.317000,-0.340072
799.318000,-0.509528
799.319000,-0.415128
799.320000,-0.364952
799.321000,-0.452492
799.322000,-0.591212
799.323000,-0.579764
799.324000,-0.423314
799.325000,-0.289821
799.326000,-0.477561
799.327000,-0.643340
799.328000,-0.651498
799.329000,-0.708193
799.330000,-0.794200
799.331000,-0.650990
799.332000,-0.737593
799.333000,-0.624264
799.334000,-0.454227
799.335000,-0.544475
799.336000,-0.687093
799.337000,-0.495278
799.338000,-0.365457
799.339000,-0.293007
799.340000,-0.136713
799.341000,-0.208039
799.342000,-0.050993
799.343000,-0.046389
799.344000,-0.061777
799.345000,-0.028881
799.346000,0.061042
799.347000,-0.072726
799.348000,-0.015218
799.349000,-0.205481
799.350000,-0.104298
799.351000,-0.174043
799.352000,-0.192811
799.353000,-0.460969
799.354000,-0.392430
799.355000,-0.427539
799.356000,-0.512551
799.357000,-0.563562
799.358000,-0.471759
799.359000,-0.543331
799.360000,-0.561983
799.361000,-0.572250
799.362000,-0.652479
799.363000,-0.583425
799.364000,-0.717501
799.365000,-0.649769
799.366000,-0.910632
799.367000,-0.972934
799.368000,-0.966470
799.369000,-1.014049
799.370000,-0.862970
799.371000,-0.901518
799.372000,-1.004503
799.373000,-0.908965
799.374000,-0.701909
799.375000,-0.511988
799.376000,-0.394346
799.377000,-0.354247
799.378000,-0.390438
799.379000,-0.235288
799.380000,-0.223979
799.381000,-0.163525
799.382000,-0.220402
799.383000,-0.129751
799.384000,-0.189232
799.385000,0.039334
799.386000,0.050871
799.387000,0.027528
799.388000,0.072538
799.389000,0.016583
799.390000,0.115231
799.391000,0.158543
799.392000,0.272706
799.393000,0.191240
799.394000,0.226608
799.395000,0.221502
799.396000,0.316508
799.397000,0.410979
799.398000,0.363989
799.399000,0.304984
799.400000,0.243678
799.401000,0.304271
799.402000,0.380318
799.403000,0.243426
799.404000,0.247255
799.405000,0.407155
799.406000,0.728189
799.407000,0.774800
799.408000,0.716654
799.409000,0.757369
799.410000,0.493911
799.411000,0.415174
799.412000,0.481028
799.413000,0.434414
799.414000,0.565209
799.415000,0.640978
799.416000,0.631381
799.417000,0.521913
799.418000,0.372668
799.419000,0.401903
799.420000,0.409934
799.421000,0.283398
799.422000,0.369476
799.423000,0.550350
799.424000,0.364991
799.425000,0.347450
799.426000,0.385236
799.427000,0.495761
799.428000,0.547351
799.429000,0.404553
799.430000,0.479118
799.431000,0.407810
799.432000,0.460702
799.433000,0.358928
799.434000,0.456411
799.435000,0.487138
799.436000,0.187481
799.437000,0.183144
799.438000,0.269639
799.439000,0.014483
799.440000,-0.076987
799.441000,-0.029392
799.442000,-0.008106
799.443000,0.017243
799.444000,-0.081849
799.445000,-0.005960
799.446000,-0.087372
799.447000,-0.131167
799.448000,-0.079952
799.449000,-0.169382
799.450000,-0.086193
799.451000,-0.112948
799.452000,-0.088257
799.453000,-0.162871
799.454000,-0.291595
799.455000,-0.228047
799.456000,-0.120292
799.457000,-0.226005
799.458000,-0.288898
799.459000,-0.207660
