time (ms), velocity (mm/s)
6693.300000,0.519199
6693.301000,0.423404
6693.302000,0.311604
6693.303000,0.204148
6693.304000,0.204868
6693.305000,0.006066
6693.306000,-0.106831
6693.307000,-0.067684
6693.308000,-0.163776
6693.309000,-0.106047
6693.310000,-0.174728
6693.311000,-0.133533
6693.312000,-0.006364
6693.313000,-0.142386
6693.314000,-0.045798
6693.315000,0.001638
6693.316000,-0.031631
6693.317000,-0.220105
6693.318000,-0.280018
6693.319000,-0.396018
6693.320000,-0.355762
6693.321000,-0.347093
6693.322000,-0.356497
6693.323000,-0.438526
6693.324000,-0.494760
6693.325000,-0.421721
6693.326000,-0.541568
6693.327000,-0.592885
6693.328000,-0.474281
6693.329000,-0.521385
6693.330000,-0.276189
6693.331000,-0.217171
6693.332000,-0.292127
6693.333000,-0.335353
6693.334000,-0.372544
6693.335000,-0.416080
6693.336000,-0.205256
6693.337000,-0.063709
6693.338000,-0.098822
6693.339000,-0.051690
6693.340000,-0.022206
6693.341000,-0.025509
6693.342000,-0.043049
6693.343000,-0.018140
6693.344000,0.026517
6693.345000,0.055389
6693.346000,-0.009952
6693.347000,0.072071
6693.348000,-0.091703
6693.349000,0.058075
6693.350000,-0.086321
6693.351000,0.065178
6693.352000,0.135962
6693.353000,0.274389
6693.354000,0.468457
6693.355000,0.509051
6693.356000,0.412381
6693.357000,0.256196
6693.358000,0.330461
6693.359000,0.311990
6693.360000,0.366666
6693.361000,0.411387
6693.362000,0.501984
6693.363000,0.510437
6693.364000,0.450290
6693.365000,0.344454
6693.366000,0.269226
6693.367000,0.432669
6693.368000,0.543302
6693.369000,0.312577
6693.370000,0.275289
6693.371000,0.437168
6693.372000,0.551248
6693.373000,0.631778
6693.374000,0.644324
6693.375000,0.609905
6693.376000,0.277477
6693.377000,0.106876
6693.378000,0.174139
6693.379000,0.187480
6693.380000,0.123294
6693.381000,0.066487
6693.382000,-0.057858
6693.383000,-0.047129
6693.384000,0.097047
6693.385000,0.164867
6693.386000,0.204840
6693.387000,0.155739
6693.388000,0.185492
6693.389000,0.017660
6693.390000,-0.055875
6693.391000,-0.046647
6693.392000,0.027588
6693.393000,0.016404
6693.394000,-0.076770
6693.395000,-0.100904
6693.396000,-0.207957
6693.397000,-0.228749
6693.398000,-0.273821
6693.399000,-0.425056
6693.400000,-0.563326
6693.401000,-0.637733
6693.402000,-0.448592
6693.403000,-0.635788
6693.404000,-0.662626
6693.405000,-0.656546
6693.406000,-0.630055
6693.407000,-0.614183
6693.408000,-0.477951
6693.409000,-0.401237
6693.410000,-0.574795
6693.411000,-0.530179
6693.412000,-0.594247
6693.413000,-0.609995
6693.414000,-0.593883
6693.415000,-0.609304
6693.416000,-0.700284
6693.417000,-0.593239
6693.418000,-0.480520
6693.419000,-0.437533
6693.420000,-0.695535
6693.421000,-0.724948
6693.422000,-0.692105
6693.423000,-0.638122
6693.424000,-0.647179
6693.425000,-0.646505
6693.426000,-0.584309
6693.427000,-0.557777
6693.428000,-0.488237
6693.429000,-0.596829
6693.430000,-0.580164
6693.431000,-0.538818
6693.432000,-0.519702
6693.433000,-0.545471
6693.434000,-0.510038
6693.435000,-0.287288
6693.436000,-0.337432
6693.437000,-0.362277
6693.438000,-0.398939
6693.439000,-0.244888
6693.440000,-0.390421
6693.441000,-0.366398
6693.442000,-0.443495
6693.443000,-0.354916
6693.444000,-0.393319
6693.445000,-0.271966
6693.446000,-0.204548
6693.447000,-0.333005
6693.448000,-0.416866
6693.449000,-0.546861
6693.450000,-0.694535
6693.451000,-0.734475
6693.452000,-0.565151
6693.453000,-0.616375
6693.454000,-0.511471
6693.455000,-0.542799
6693.456000,-0.460043
6693.457000,-0.377496
6693.458000,-0.297177
6693.459000,-0.362476
6693.460000,-0.234573
6693.461000,-0.208520
6693.462000,-0.144354
6693.463000,0.031324
6693.464000,0.102208
6693.465000,0.150812
6693.466000,0.211552
6693.467000,0.447536
6693.468000,0.526477
6693.469000,0.420257
6693.470000,0.364280
6693.471000,0.328976
6693.472000,0.222765
6693.473000,0.007963
6693.474000,0.025842
6693.475000,0.136398
6693.476000,0.078431
6693.477000,-0.012917
6693.478000,0.129090
6693.479000,0.254251
6693.480000,0.457636
6693.481000,0.263299
6693.482000,0.398112
6693.483000,0.213795
6693.484000,0.305527
6693.485000,0.301798
6693.486000,0.339374
6693.487000,0.254623
6693.488000,0.165744
6693.489000,0.243845
6693.490000,0.231802
6693.491000,0.211529
6693.492000,0.323885
6693.493000,0.293225
6693.494000,0.229641
6693.495000,0.051668
6693.496000,-0.003173
6693.497000,0.136130
6693.498000,0.129253
6693.499000,0.484566
6693.500000,0.461970
6693.501000,0.378552
6693.502000,0.444412
6693.503000,0.563377
6693.504000,0.613127
6693.505000,0.597776
6693.506000,0.428841
6693.507000,0.424429
6693.508000,0.481533
6693.509000,0.372899
6693.510000,0.111738
6693.511000,0.061696
6693.512000,-0.054576
6693.513000,-0.111224
6693.514000,-0.116765
6693.515000,-0.242066
6693.516000,-0.238044
6693.517000,-0.127501
6693.518000,-0.111063
6693.519000,-0.090554
6693.520000,-0.015026
6693.521000,-0.000096
6693.522000,-0.098559
6693.523000,-0.077053
6693.524000,-0.116021
6693.525000,-0.019329
6693.526000,0.058714
6693.527000,-0.108397
6693.528000,0.004180
6693.529000,-0.116753
6693.530000,0.034131
6693.531000,0.105223
6693.532000,-0.086796
6693.533000,-0.139473
6693.534000,-0.109675
6693.535000,-0.141771
6693.536000,-0.155136
6693.537000,-0.020919
6693.538000,-0.199311
6693.539000,-0.175301
6693.540000,-0.140075
6693.541000,-0.191598
6693.542000,-0.244050
6693.543000,-0.369966
6693.544000,-0.440572
6693.545000,-0.500512
6693.546000,-0.418972
6693.547000,-0.618838
6693.548000,-0.445009
6693.549000,-0.474979
6693.550000,-0.387529
6693.551000,-0.267879
6693.552000,-0.244733
6693.553000,-0.075087
6693.554000,-0.134750
6693.555000,-0.322808
6693.556000,-0.253989
6693.557000,-0.270748
6693.558000,-0.346555
6693.559000,-0.436128
6693.560000,-0.406837
6693.561000,-0.331672
6693.562000,-0.360309
6693.563000,-0.290240
6693.564000,-0.270659
6693.565000,-0.055997
6693.566000,-0.079636
6693.567000,-0.043043
6693.568000,-0.078835
6693.569000,-0.203027
6693.570000,-0.130258
6693.571000,-0.033767
6693.572000,0.086638
6693.573000,0.074523
6693.574000,0.326087
6693.575000,0.245150
6693.576000,0.341487
6693.577000,0.251573
6693.578000,0.259144
6693.579000,0.401977
6693.580000,0.210119
6693.581000,0.298353
6693.582000,0.138818
6693.583000,0.167221
6693.584000,0.067837
6693.585000,-0.047529
6693.586000,0.219989
6693.587000,0.318941
6693.588000,0.423584
6693.589000,0.420431
6693.590000,0.432303
6693.591000,0.439415
6693.592000,0.639655
6693.593000,0.456841
6693.594000,0.571618
6693.595000,0.506000
6693.596000,0.450878
6693.597000,0.402169
6693.598000,0.452865
6693.599000,0.646686
6693.600000,0.628140
6693.601000,0.578889
6693.602000,0.623122
6693.603000,0.702940
6693.604000,0.777913
6693.605000,0.796730
6693.606000,0.844896
6693.607000,0.778814
6693.608000,0.680948
6693.609000,0.706796
6693.610000,0.778882
6693.611000,0.776687
6693.612000,0.701761
6693.613000,0.508393
6693.614000,0.679496
6693.615000,0.458542
6693.616000,0.466326
6693.617000,0.292048
6693.618000,0.164629
6693.619000,0.308096
6693.620000,0.419596
6693.621000,0.471537
6693.622000,0.409516
6693.623000,0.592647
6693.624000,0.402214
6693.625000,0.261058
6693.626000,0.246595
6693.627000,0.212969
6693.628000,0.172932
6693.629000,0.260164
6693.630000,0.443408
6693.631000,0.506561
6693.632000,0.496724
6693.633000,0.604525
6693.634000,0.724270
6693.635000,0.668841
6693.636000,0.746283
6693.637000,0.698333
6693.638000,0.898665
6693.639000,0.781381
6693.640000,0.794826
6693.641000,0.874526
6693.642000,0.863160
6693.643000,0.693027
6693.644000,0.774757
6693.645000,0.876885
6693.646000,0.769028
6693.647000,0.831593
6693.648000,0.865900
6693.649000,0.844499
6693.650000,0.676517
6693.651000,0.753116
6693.652000,0.760174
6693.653000,0.560717
6693.654000,0.566295
6693.655000,0.484126
6693.656000,0.406229
6693.657000,0.524435
6693.658000,0.462931
6693.659000,0.535277
6693.660000,0.593415
6693.661000,0.530007
6693.662000,0.414305
6693.663000,0.239824
6693.664000,0.349450
6693.665000,0.277198
6693.666000,0.397963
6693.667000,0.331843
6693.668000,0.258562
6693.669000,0.220784
6693.670000,0.356814
6693.671000,0.301263
6693.672000,0.223386
6693.673000,0.079780
6693.674000,0.132795
6693.675000,0.218422
6693.676000,0.388172
6693.677000,0.247514
6693.678000,0.103483
6693.679000,-0.085708
6693.680000,-0.041722
6693.681000,0.073913
6693.682000,0.153104
6693.683000,0.021613
6693.684000,-0.017899
6693.685000,0.142275
6693.686000,0.193221
6693.687000,0.175240
6693.688000,0.332984
6693.689000,0.265770
6693.690000,0.265105
6693.691000,0.257966
6693.692000,0.312636
6693.693000,0.334386
6693.694000,0.500753
6693.695000,0.343966
6693.696000,0.376128
6693.697000,0.378254
6693.698000,0.470591
6693.699000,0.568523
6693.700000,0.476192
6693.701000,0.569127
6693.702000,0.377295
6693.703000,0.344073
6693.704000,0.192758
6693.705000,0.177554
6693.706000,0.193732
6693.707000,0.260105
6693.708000,0.231065
6693.709000,0.230328
6693.710000,0.298474
6693.711000,0.262648
6693.712000,0.085774
6693.713000,0.204101
6693.714000,0.244275
6693.715000,0.156057
6693.716000,0.177230
6693.717000,0.249943
6693.718000,0.223125
6693.719000,0.124741
6693.720000,0.151383
6693.721000,-0.076386
6693.722000,-0.007424
6693.723000,0.010097
6693.724000,-0.107534
6693.725000,0.005714
6693.726000,-0.001100
6693.727000,0.069213
6693.728000,0.129705
6693.729000,0.249999
6693.730000,0.115396
6693.731000,-0.208971
6693.732000,-0.298720
6693.733000,-0.318461
6693.734000,-0.436863
6693.735000,-0.339180
6693.736000,-0.243012
6693.737000,-0.107168
6693.738000,-0.019382
6693.739000,-0.098754
6693.740000,0.059668
6693.741000,0.002227
6693.742000,0.010440
6693.743000,-0.086582
6693.744000,-0.131343
6693.745000,-0.316773
6693.746000,-0.132575
6693.747000,-0.147572
6693.748000,-0.285392
6693.749000,-0.441147
6693.750000,-0.371779
6693.751000,-0.172573
6693.752000,-0.262055
6693.753000,-0.201025
6693.754000,-0.098221
6693.755000,-0.125802
6693.756000,-0.064699
6693.757000,-0.089021
6693.758000,-0.067461
6693.759000,0.044589
6693.760000,0.039035
6693.761000,-0.020275
6693.762000,-0.107461
6693.763000,0.034692
6693.764000,0.125017
6693.765000,0.450887
6693.766000,0.528168
6693.767000,0.355676
6693.768000,0.341937
6693.769000,0.186294
6693.770000,-0.008712
6693.771000,-0.038582
6693.772000,-0.053263
6693.773000,-0.198142
6693.774000,-0.306570
6693.775000,-0.291399
6693.776000,-0.247085
6693.777000,-0.400768
6693.778000,-0.618823
6693.779000,-0.751039
6693.780000,-0.852337
6693.781000,-0.750098
6693.782000,-0.579947
6693.783000,-0.565448
6693.784000,-0.511409
6693.785000,-0.604956
6693.786000,-0.633573
6693.787000,-0.497001
6693.788000,-0.519434
6693.789000,-0.427600
6693.790000,-0.422341
6693.791000,-0.485894
6693.792000,-0.646928
6693.793000,-0.772723
6693.794000,-0.885395
6693.795000,-0.806400
6693.796000,-0.742808
6693.797000,-0.967403
6693.798000,-0.924217
6693.799000,-0.997697
6693.800000,-0.950522
6693.801000,-0.825856
6693.802000,-0.776664
6693.803000,-0.798323
6693.804000,-0.707476
6693.805000,-0.833750
6693.806000,-0.949008
6693.807000,-0.940251
6693.808000,-0.929138
6693.809000,-0.937566
6693.810000,-0.951186
6693.811000,-0.904201
6693.812000,-0.834763
6693.813000,-0.629946
6693.814000,-0.568453
6693.815000,-0.607939
6693.816000,-0.520035
6693.817000,-0.432974
6693.818000,-0.236303
6693.819000,-0.198602
6693.820000,-0.168723
6693.821000,-0.130902
6693.822000,0.057874
6693.823000,-0.073603
6693.824000,-0.016409
6693.825000,-0.186045
6693.826000,-0.277528
6693.827000,-0.222961
6693.828000,-0.114505
6693.829000,-0.157589
6693.830000,-0.260252
6693.831000,-0.359153
6693.832000,-0.497330
6693.833000,-0.486216
6693.834000,-0.527177
6693.835000,-0.694501
6693.836000,-0.708300
6693.837000,-0.550043
6693.838000,-0.633480
6693.839000,-0.595715
6693.840000,-0.599793
6693.841000,-0.732618
6693.842000,-0.821140
6693.843000,-0.855885
6693.844000,-0.818067
6693.845000,-0.884726
6693.846000,-0.847208
6693.847000,-0.683958
6693.848000,-0.556729
6693.849000,-0.514936
6693.850000,-0.612341
6693.851000,-0.559247
6693.852000,-0.456408
6693.853000,-0.344167
6693.854000,-0.285944
6693.855000,-0.328041
6693.856000,-0.387708
6693.857000,-0.248022
6693.858000,-0.411770
6693.859000,-0.372999
6693.860000,-0.246764
6693.861000,-0.350655
6693.862000,-0.425446
6693.863000,-0.517558
6693.864000,-0.291069
6693.865000,-0.205325
6693.866000,-0.236051
6693.867000,-0.149975
6693.868000,-0.181351
6693.869000,-0.001137
6693.870000,0.110346
6693.871000,0.073771
6693.872000,0.166746
6693.873000,0.200006
6693.874000,0.217187
6693.875000,0.276360
6693.876000,0.178184
6693.877000,0.016362
6693.878000,0.139701
6693.879000,0.212756
6693.880000,0.122138
6693.881000,0.155645
6693.882000,0.082269
6693.883000,0.217480
6693.884000,0.143869
6693.885000,0.141690
6693.886000,0.184069
6693.887000,0.085864
6693.888000,0.086275
6693.889000,-0.125059
6693.890000,-0.216160
6693.891000,-0.161622
6693.892000,-0.119183
6693.893000,0.037464
6693.894000,0.080549
6693.895000,0.021306
6693.896000,0.044203
6693.897000,0.041068
6693.898000,0.241339
6693.899000,0.195346
6693.900000,0.223904
6693.901000,0.272992
6693.902000,0.236924
6693.903000,0.196557
6693.904000,0.045634
6693.905000,-0.071267
6693.906000,-0.020309
6693.907000,-0.046264
6693.908000,-0.197609
6693.909000,-0.107414
6693.910000,-0.129409
6693.911000,-0.136216
6693.912000,-0.096463
6693.913000,0.050656
6693.914000,0.212002
6693.915000,0.197384
6693.916000,0.177822
6693.917000,-0.004318
6693.918000,0.007399
6693.919000,-0.057717
6693.920000,-0.101687
6693.921000,-0.033090
6693.922000,0.045779
6693.923000,-0.022497
6693.924000,-0.149843
6693.925000,-0.432367
6693.926000,-0.374571
6693.927000,-0.367521
6693.928000,-0.333853
6693.929000,-0.412281
6693.930000,-0.388043
6693.931000,-0.172238
6693.932000,-0.276654
6693.933000,-0.346310
6693.934000,-0.311119
6693.935000,-0.330551
6693.936000,-0.403212
6693.937000,-0.281490
6693.938000,-0.221373
6693.939000,-0.289076
6693.940000,-0.322965
6693.941000,-0.414000
6693.942000,-0.493655
6693.943000,-0.449784
6693.944000,-0.527854
6693.945000,-0.491619
6693.946000,-0.552408
6693.947000,-0.738600
6693.948000,-0.746048
6693.949000,-0.751610
6693.950000,-0.803411
6693.951000,-0.715301
6693.952000,-0.537956
6693.953000,-0.699758
6693.954000,-0.663597
6693.955000,-0.511848
6693.956000,-0.514929
6693.957000,-0.469576
6693.958000,-0.444667
6693.959000,-0.492922
6693.960000,-0.218945
6693.961000,-0.289141
6693.962000,-0.208146
6693.963000,-0.098730
6693.964000,0.068732
6693.965000,-0.082003
6693.966000,0.199806
6693.967000,0.150457
6693.968000,0.154350
6693.969000,0.075507
6693.970000,-0.003779
6693.971000,0.082012
6693.972000,0.229564
6693.973000,0.209000
6693.974000,0.352309
6693.975000,0.215748
6693.976000,0.264901
6693.977000,0.358323
6693.978000,0.389807
