time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
0.000000,1.000000,1000000.000000,-0.000000
0.001000,989744.686970,979406.743338,-0.000000
0.002000,1958918.568389,958865.935927,-0.000000
0.003000,2907578.561928,938384.428512,-0.000000
0.004000,3835787.108541,917968.419166,-0.000000
0.005000,4743612.977408,897624.363857,-0.000000
0.006000,5631131.117499,877358.168009,-0.000000
0.007000,6498422.502772,857175.973957,-0.000000
0.008000,7345574.259575,837083.943051,-0.000000
0.009000,8172679.390010,817087.667442,-0.000000
0.010000,8979836.485382,797192.732544,-0.000000
0.011000,9767149.534047,777404.348162,-0.000000
0.012000,10534727.738656,757727.732252,-0.000000
0.013000,11282685.565263,738168.192424,-0.000000
0.014000,12011142.622675,718730.707523,-0.000000
0.015000,12720223.402621,699420.064847,-0.000000
0.016000,13410057.015240,680240.715028,-0.000000
0.017000,14080777.125707,661197.315828,-0.000000
0.018000,14732521.954659,642294.320862,-0.000000
0.019000,15365433.996247,623535.824863,-0.000000
0.020000,15979659.867178,604925.977418,-0.000000
0.021000,16575350.320136,586468.900549,-0.000000
0.022000,17152659.947571,568168.154234,-0.000000
0.023000,17711747.019052,550027.531140,-0.000000
0.024000,18252773.435122,532050.501831,-0.000000
0.025000,18775904.588211,514240.578960,-0.000000
0.026000,19281309.282069,496601.073234,-0.000000
0.027000,19769159.513539,479135.061066,-0.000000
0.028000,20239630.285738,461845.479083,-0.000000
0.029000,20692899.589953,444735.366248,-0.000000
0.030000,21129148.370952,427807.591227,-0.000000
0.031000,21548560.151440,411064.444079,-0.000000
0.032000,21951320.945188,394508.614705,-0.000000
0.033000,22337619.316662,378142.515905,-0.000000
0.034000,22707646.040360,361968.156971,-0.000000
0.035000,23061594.266910,345988.277038,-0.000000
0.036000,23399659.334231,330204.517179,-0.000000
0.037000,23722038.386139,314618.846462,-0.000000
0.038000,24028930.515156,299233.193456,-0.000000
0.039000,24320536.621170,284049.245620,-0.000000
0.040000,24597059.091302,269068.292126,-0.000000
0.041000,24858701.885645,254292.186928,-0.000000
0.042000,25105670.523342,239722.197305,-0.000000
0.043000,25338171.624680,225359.260165,-0.000000
0.044000,25556413.001081,211204.818435,-0.000000
0.045000,25760603.851249,197260.204473,-0.000000
0.046000,25950954.217718,183525.778836,-0.000000
0.047000,26127675.053721,170002.996960,-0.000000
0.048000,26290978.260439,156692.304744,-0.000000
0.049000,26441076.223555,143594.225220,-0.000000
0.050000,26578181.976326,130709.529514,-0.000000
0.051000,26702509.256788,118038.857024,-0.000000
0.052000,26814272.154772,105582.275241,-0.000000
0.053000,26913685.040899,93340.276429,-0.000000
0.054000,27000962.672527,81313.143227,-0.000000
0.055000,27076319.955427,69500.891586,-0.000000
0.056000,27139971.818223,57903.551602,-0.000000
0.057000,27192133.279475,46521.272845,-0.000000
0.058000,27233019.236993,35353.667456,-0.000000
0.059000,27262844.410638,24400.765691,-0.000000
0.060000,27281823.238966,13661.978354,-0.000000
0.061000,27290169.890584,3137.351937,-0.000000
0.062000,27288098.306600,-7173.611786,-0.000000
0.063000,27275821.882515,-17271.504793,-0.000000
0.064000,27253553.437141,-27156.888117,-0.000000
0.065000,27221505.176121,-36830.426004,-0.000000
0.066000,27179888.834376,-46292.397131,-0.000000
0.067000,27128915.392567,-55544.025909,-0.000000
0.068000,27068794.937213,-64585.879026,-0.000000
0.069000,26999736.725251,-73419.045691,-0.000000
0.070000,26921948.975253,-82044.513349,-0.000000
0.071000,26835639.079228,-90462.948767,-0.000000
0.072000,26741013.349325,-98675.840059,-0.000000
0.073000,26638276.996611,-106683.904630,-0.000000
