bin, frequency
1, 26259
2, 87419
3, 104620
4, 90509
5, 67066
6, 46245
7, 28927
8, 17378
9, 9986
10, 5676
11, 3232
12, 1691
13, 868
14, 413
15, 238
16, 112
17, 101
18, 43
19, 17
20, 2
21, 1
