bin, radial density
1, 0.039965
2, 0.230007
3, 0.408566
4, 0.512086
5, 0.541322
6, 0.517106
7, 0.461854
8, 0.393210
9, 0.322971
10, 0.257987
11, 0.201536
12, 0.154594
13, 0.116800
14, 0.087119
15, 0.064270
16, 0.046963
17, 0.034032
18, 0.024480
19, 0.017495
20, 0.012430
21, 0.008785
