bin, radial density
1, 0.284074
2, 0.981234
3, 1.046089
4, 0.786906
5, 0.499241
6, 0.286226
7, 0.153429
8, 0.078398
9, 0.038647
10, 0.018528
11, 0.008687
12, 0.003999
13, 0.001813
14, 0.000812
15, 0.000359
16, 0.000158
17, 0.000069
18, 0.000030
19, 0.000013
20, 0.000005
21, 0.000002
