bin, frequency
1, 22328
2, 78146
3, 99160
4, 89740
5, 69913
6, 49364
7, 32782
8, 20588
9, 12392
10, 6997
11, 3939
12, 2070
13, 1118
14, 616
15, 314
16, 132
17, 59
18, 26
19, 27
20, 5
21, 1
