bin, frequency
1, 28060
2, 90785
3, 107673
4, 92575
5, 66151
6, 42916
7, 26466
8, 15232
9, 8218
10, 4597
11, 2560
12, 1409
13, 762
14, 469
15, 187
16, 83
17, 41
18, 29
19, 27
20, 14
21, 1
