bin, radial density
1, 0.046474
2, 0.257018
3, 0.438701
4, 0.528364
5, 0.536699
6, 0.492651
7, 0.422813
8, 0.345902
9, 0.273008
10, 0.209553
11, 0.157302
12, 0.115947
13, 0.084177
14, 0.060332
15, 0.042768
16, 0.030030
17, 0.020911
18, 0.014454
19, 0.009926
20, 0.006776
21, 0.004602
