bin, frequency
1, 12440
2, 56270
3, 74497
4, 59841
5, 38984
6, 22602
7, 12261
8, 5985
9, 2814
10, 1277
11, 580
12, 240
13, 117
14, 55
15, 26
16, 16
17, 4
18, 7
19, 1
20, 1
21, 1
