time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
0.640000,33.554404,0.313316,-0.000000
0.645000,34.811525,0.189938,-0.000000
0.650000,35.610343,0.129908,-0.000000
0.655000,35.713986,-0.086142,-0.000000
0.660000,35.221359,-0.109671,-0.000000
0.665000,34.438888,-0.201237,-0.000000
0.670000,33.274361,-0.262405,-0.000000
0.675000,31.241701,-0.545807,-0.000000
0.680000,28.174845,-0.676440,-0.000000
0.685000,24.539424,-0.773036,-0.000000
0.690000,20.697370,-0.759889,-0.000000
0.695000,16.586187,-0.879371,-0.000000
0.700000,11.184714,-1.272535,-0.000000
0.705000,4.633626,-1.340979,-0.000000
0.710000,-2.290270,-1.421312,0.000000
0.715000,-9.667466,-1.521813,0.000000
0.720000,-17.261339,-1.508860,0.000000
0.725000,-24.591545,-1.417384,0.000000
0.730000,-31.901422,-1.499393,0.000000
0.735000,-39.134319,-1.388419,0.000000
0.740000,-46.120130,-1.399868,0.000000
0.745000,-52.660142,-1.212320,0.000000
0.750000,-58.202902,-1.002202,0.000000
0.755000,-62.793118,-0.831949,0.000000
0.760000,-66.483862,-0.643487,0.000000
0.765000,-69.517911,-0.568981,0.000000
0.770000,-71.751098,-0.325380,0.000000
0.775000,-72.435706,0.047858,0.000000
0.780000,-72.003328,0.122884,0.000000
0.785000,-71.029685,0.263307,0.000000
0.790000,-69.141684,0.487076,0.000000
0.795000,-66.721044,0.477869,0.000000
0.800000,-63.989448,0.610006,0.000000
0.805000,-61.150771,0.522508,0.000000
0.810000,-58.827711,0.404548,0.000000
0.815000,-56.283649,0.608011,0.000000
0.820000,-53.191534,0.624878,0.000000
0.825000,-49.923544,0.677938,0.000000
0.830000,-46.640749,0.631681,0.000000
0.835000,-43.517828,0.613950,0.000000
0.840000,-40.597042,0.551447,0.000000
0.845000,-37.781286,0.571385,0.000000
0.850000,-35.042848,0.521233,0.000000
0.855000,-32.485662,0.498863,0.000000
0.860000,-29.617690,0.643875,0.000000
0.865000,-25.664592,0.930735,0.000000
0.870000,-21.392804,0.774872,0.000000
0.875000,-17.798422,0.660130,0.000000
0.880000,-14.405911,0.693118,0.000000
0.885000,-10.508254,0.860626,0.000000
0.890000,-6.454523,0.757758,0.000000
0.895000,-2.746119,0.722313,0.000000
0.900000,0.855003,0.714769,-0.000000
0.905000,4.175634,0.611253,-0.000000
0.910000,7.139135,0.571763,-0.000000
0.915000,10.060408,0.593926,-0.000000
0.920000,13.642016,0.833479,-0.000000
0.925000,17.555188,0.729214,-0.000000
0.930000,20.917065,0.613638,-0.000000
0.935000,23.600621,0.458910,-0.000000
0.940000,25.835253,0.433437,-0.000000
0.945000,27.280892,0.146311,-0.000000
0.950000,27.835869,0.076192,-0.000000
0.955000,27.895413,-0.050904,-0.000000
0.960000,27.719969,-0.018931,-0.000000
0.965000,27.633416,-0.015195,-0.000000
0.970000,28.312882,0.284246,-0.000000
0.975000,28.898252,-0.047379,-0.000000
0.980000,28.708282,-0.028128,-0.000000
0.985000,28.497583,-0.055261,-0.000000
0.990000,28.219834,-0.055120,-0.000000
0.995000,27.909045,-0.068337,-0.000000
1.000000,27.552124,-0.073602,-0.000000
1.005000,27.212913,-0.061424,-0.000000
1.010000,26.962967,-0.038080,-0.000000
1.015000,26.524660,-0.135569,-0.000000
1.020000,25.880037,-0.121368,-0.000000
1.025000,25.189500,-0.153508,-0.000000
1.030000,23.815140,-0.392510,-0.000000
1.035000,21.868399,-0.384044,-0.000000
1.040000,20.284710,-0.248738,-0.000000
1.045000,19.408592,-0.101806,-0.000000
1.050000,18.702545,-0.178982,-0.000000
1.055000,16.970415,-0.509138,-0.000000
1.060000,14.072846,-0.645732,-0.000000
1.065000,11.204097,-0.500079,-0.000000
1.070000,8.361859,-0.632836,-0.000000
1.075000,5.264854,-0.603170,-0.000000
1.080000,2.568180,-0.473975,-0.000000
1.085000,0.573842,-0.323124,-0.000000
1.090000,-1.265920,-0.410302,0.000000
1.095000,-3.780586,-0.591681,0.000000
1.100000,-6.947591,-0.671526,0.000000
1.105000,-10.321306,-0.674870,0.000000
1.110000,-13.729752,-0.685380,0.000000
1.115000,-17.153273,-0.681067,0.000000
1.120000,-20.894385,-0.811033,0.000000
1.125000,-24.946130,-0.806232,0.000000
1.130000,-28.360395,-0.558765,0.000000
1.135000,-31.899592,-0.851558,0.000000
1.140000,-35.861166,-0.730884,0.000000
1.145000,-39.749307,-0.820533,0.000000
1.150000,-43.499183,-0.677743,0.000000
1.155000,-46.515208,-0.527803,0.000000
1.160000,-48.764987,-0.372064,0.000000
1.165000,-50.431143,-0.294277,0.000000
1.170000,-51.319363,-0.062950,0.000000
1.175000,-51.317329,0.061877,0.000000
1.180000,-50.710182,0.178595,0.000000
1.185000,-49.278364,0.390174,0.000000
1.190000,-47.182437,0.444968,0.000000
1.195000,-45.238994,0.330791,0.000000
1.200000,-43.240755,0.464760,0.000000
1.205000,-40.690283,0.551597,0.000000
1.210000,-37.348645,0.779328,0.000000
1.215000,-33.677273,0.685960,0.000000
1.220000,-30.248669,0.681751,0.000000
1.225000,-27.089545,0.579310,0.000000
1.230000,-24.515976,0.448373,0.000000
1.235000,-21.621190,0.704254,0.000000
1.240000,-18.815168,0.417601,0.000000
1.245000,-16.399127,0.545158,0.000000
1.250000,-13.090315,0.773057,0.000000
1.255000,-8.748748,0.957710,0.000000
1.260000,-3.822425,1.007622,0.000000
1.265000,0.815134,0.844364,-0.000000
1.270000,5.412927,0.989214,-0.000000
1.275000,10.273757,0.950959,-0.000000
1.280000,14.515632,0.743726,-0.000000
1.285000,18.204739,0.728807,-0.000000
1.290000,21.960108,0.769755,-0.000000
1.295000,25.724666,0.733192,-0.000000
1.300000,29.429341,0.745504,-0.000000
1.305000,33.423064,0.847835,-0.000000
1.310000,37.307618,0.704091,-0.000000
1.315000,40.111000,0.417656,-0.000000
1.320000,41.896020,0.296349,-0.000000
1.325000,42.408399,-0.087944,-0.000000
1.330000,42.336596,0.058728,-0.000000
1.335000,42.441871,-0.015406,-0.000000
1.340000,42.118204,-0.112251,-0.000000
1.345000,40.941628,-0.354539,-0.000000
1.350000,38.972325,-0.430030,-0.000000
1.355000,36.161657,-0.688771,-0.000000
1.360000,32.519879,-0.763301,-0.000000
1.365000,28.616942,-0.793424,-0.000000
1.370000,24.384532,-0.894243,-0.000000
1.375000,20.202587,-0.775220,-0.000000
1.380000,16.677536,-0.632373,-0.000000
1.385000,13.126992,-0.782960,-0.000000
1.390000,9.100058,-0.823472,-0.000000
