bin, frequency
1, 24190
2, 81983
3, 101722
4, 91515
5, 69410
6, 48012
7, 30907
8, 18792
9, 11243
10, 6345
11, 3311
12, 1865
13, 855
14, 411
15, 198
16, 77
17, 55
18, 19
19, 8
20, 1
21, 0
