bin, radial density
1, 0.042052
2, 0.238887
3, 0.418851
4, 0.518185
5, 0.540683
6, 0.509814
7, 0.449451
8, 0.377700
9, 0.306218
10, 0.241440
11, 0.186170
12, 0.140960
13, 0.105121
14, 0.077394
15, 0.056356
16, 0.040648
17, 0.029075
18, 0.020644
19, 0.014562
20, 0.010212
21, 0.007124
