a0, energy
64.000000,-13.431499
64.240300,-13.434505
64.481201,-13.436968
64.722703,-13.438904
64.964808,-13.440327
65.207516,-13.441254
65.450827,-13.441702
65.694743,-13.438953
65.939264,-13.438496
66.184391,-13.437591
66.430125,-13.436241
66.676466,-13.434621
66.923416,-13.432385
67.170975,-13.429710
67.419143,-13.426599
67.667922,-13.423053
67.917312,-13.419077
68.167314,-13.414673
68.417929,-13.409845
68.669157,-13.404595
