time (ms), velocity (mm/s)
1398.600000,-0.092597
1398.601000,-0.104139
1398.602000,-0.101979
1398.603000,-0.133494
1398.604000,-0.073023
1398.605000,-0.135355
1398.606000,-0.101548
1398.607000,-0.045179
1398.608000,-0.018350
1398.609000,-0.041595
1398.610000,-0.082687
1398.611000,-0.141024
1398.612000,-0.176166
1398.613000,-0.173955
1398.614000,-0.199877
1398.615000,-0.128303
1398.616000,-0.245963
1398.617000,-0.270695
1398.618000,-0.280418
1398.619000,-0.264781
1398.620000,-0.230250
1398.621000,-0.304542
1398.622000,-0.257831
1398.623000,-0.335931
1398.624000,-0.469992
1398.625000,-0.359112
1398.626000,-0.318480
1398.627000,-0.273061
1398.628000,-0.263925
1398.629000,-0.268668
1398.630000,-0.289547
1398.631000,-0.232319
1398.632000,-0.311019
1398.633000,-0.289987
1398.634000,-0.300699
1398.635000,-0.374646
1398.636000,-0.387615
1398.637000,-0.329744
1398.638000,-0.218863
1398.639000,-0.188034
1398.640000,-0.134277
1398.641000,-0.126825
1398.642000,-0.014760
1398.643000,-0.029507
1398.644000,-0.060545
1398.645000,-0.042112
1398.646000,-0.038960
1398.647000,-0.045837
1398.648000,-0.096454
1398.649000,-0.027217
1398.650000,-0.074973
1398.651000,-0.075700
1398.652000,-0.042496
1398.653000,-0.036124
1398.654000,-0.141608
1398.655000,-0.182173
1398.656000,-0.147388
1398.657000,-0.003023
1398.658000,-0.036858
1398.659000,-0.073786
1398.660000,-0.178501
1398.661000,-0.227435
1398.662000,-0.238958
1398.663000,-0.356833
1398.664000,-0.312260
1398.665000,-0.397311
1398.666000,-0.498507
1398.667000,-0.531152
1398.668000,-0.566906
1398.669000,-0.541562
1398.670000,-0.551524
1398.671000,-0.589919
1398.672000,-0.579050
1398.673000,-0.553191
1398.674000,-0.555654
1398.675000,-0.440973
1398.676000,-0.338857
1398.677000,-0.294642
1398.678000,-0.213399
1398.679000,-0.128883
1398.680000,-0.104362
1398.681000,-0.098385
1398.682000,0.008319
1398.683000,0.054196
1398.684000,0.027554
1398.685000,-0.045838
1398.686000,0.052359
1398.687000,0.038976
1398.688000,0.107908
1398.689000,0.146104
1398.690000,0.108009
1398.691000,0.154550
1398.692000,0.149019
1398.693000,0.108293
1398.694000,0.105485
1398.695000,-0.025491
1398.696000,0.038638
1398.697000,-0.052232
1398.698000,-0.035063
1398.699000,0.007250
1398.700000,0.014675
1398.701000,0.048680
1398.702000,0.004562
1398.703000,0.122612
1398.704000,0.073772
1398.705000,0.129368
1398.706000,0.186929
1398.707000,0.141402
1398.708000,0.125385
1398.709000,0.191456
1398.710000,0.164548
1398.711000,0.105085
1398.712000,0.107336
1398.713000,0.034021
1398.714000,0.103670
1398.715000,0.075964
1398.716000,0.019928
1398.717000,-0.009683
1398.718000,0.001700
1398.719000,0.073017
1398.720000,-0.001699
1398.721000,-0.185472
1398.722000,-0.165855
1398.723000,-0.150854
1398.724000,-0.074637
1398.725000,-0.038337
1398.726000,0.029440
1398.727000,0.135476
1398.728000,0.053961
1398.729000,0.137521
1398.730000,0.128844
1398.731000,0.152693
1398.732000,0.093465
1398.733000,0.172499
1398.734000,0.181903
1398.735000,0.232065
1398.736000,0.235281
1398.737000,0.321127
1398.738000,0.358954
1398.739000,0.357762
1398.740000,0.288075
1398.741000,0.266017
1398.742000,0.275496
1398.743000,0.235647
1398.744000,0.279757
1398.745000,0.233333
1398.746000,0.181360
1398.747000,0.161264
1398.748000,0.210888
1398.749000,0.278218
1398.750000,0.248921
1398.751000,0.225525
1398.752000,0.140189
1398.753000,0.215094
1398.754000,0.244832
1398.755000,0.185712
1398.756000,0.134025
1398.757000,0.029218
1398.758000,0.058245
1398.759000,0.040236
1398.760000,-0.018056
1398.761000,0.111374
1398.762000,0.171630
1398.763000,0.262643
1398.764000,0.257989
1398.765000,0.208687
1398.766000,0.245335
1398.767000,0.214554
1398.768000,0.220983
1398.769000,0.199272
1398.770000,0.206699
1398.771000,0.207908
1398.772000,0.270709
1398.773000,0.378177
1398.774000,0.407106
1398.775000,0.381333
1398.776000,0.505603
1398.777000,0.449095
1398.778000,0.457085
1398.779000,0.551327
1398.780000,0.538824
1398.781000,0.526710
1398.782000,0.508210
1398.783000,0.510807
1398.784000,0.526314
1398.785000,0.402139
1398.786000,0.360283
1398.787000,0.378664
1398.788000,0.290594
1398.789000,0.246832
1398.790000,0.235102
1398.791000,0.244681
1398.792000,0.205707
1398.793000,0.301582
1398.794000,0.262523
1398.795000,0.225612
1398.796000,0.230135
1398.797000,0.300923
1398.798000,0.162605
1398.799000,0.129788
1398.800000,0.079662
1398.801000,0.164622
1398.802000,0.126739
1398.803000,0.025409
1398.804000,-0.126983
1398.805000,-0.136466
1398.806000,-0.223588
1398.807000,-0.328959
1398.808000,-0.275275
1398.809000,-0.283974
1398.810000,-0.297894
1398.811000,-0.267774
1398.812000,-0.258512
1398.813000,-0.201422
1398.814000,-0.246690
1398.815000,-0.390131
1398.816000,-0.360122
1398.817000,-0.405949
1398.818000,-0.368907
1398.819000,-0.315520
1398.820000,-0.372876
1398.821000,-0.385868
1398.822000,-0.341596
1398.823000,-0.315078
1398.824000,-0.323676
1398.825000,-0.261394
1398.826000,-0.254106
1398.827000,-0.115766
1398.828000,-0.078371
1398.829000,-0.112704
1398.830000,-0.151257
1398.831000,-0.118918
1398.832000,-0.104136
1398.833000,0.027321
1398.834000,0.092480
1398.835000,0.112926
1398.836000,0.039347
1398.837000,0.118666
1398.838000,0.248720
1398.839000,0.187398
1398.840000,0.120759
1398.841000,0.105958
1398.842000,0.083776
1398.843000,0.219163
1398.844000,0.194063
1398.845000,0.169983
1398.846000,0.092651
1398.847000,0.101637
1398.848000,0.103266
1398.849000,0.052970
1398.850000,0.150320
1398.851000,0.173483
1398.852000,0.067868
1398.853000,0.137161
1398.854000,0.163110
1398.855000,0.229962
1398.856000,0.216705
1398.857000,0.239742
1398.858000,0.228058
1398.859000,0.236066
1398.860000,0.286060
1398.861000,0.311245
1398.862000,0.276455
1398.863000,0.149632
1398.864000,0.191511
1398.865000,0.182876
1398.866000,0.119085
1398.867000,0.026105
1398.868000,0.094741
1398.869000,0.208651
1398.870000,0.106890
1398.871000,0.088751
1398.872000,0.167645
1398.873000,0.172978
1398.874000,0.149044
1398.875000,0.124459
1398.876000,0.129710
1398.877000,0.206325
1398.878000,0.251066
1398.879000,0.269012
1398.880000,0.254059
1398.881000,0.255134
1398.882000,0.305628
1398.883000,0.258000
1398.884000,0.213471
1398.885000,0.279629
1398.886000,0.358479
1398.887000,0.270387
1398.888000,0.179962
1398.889000,0.109290
1398.890000,0.095635
1398.891000,0.036999
1398.892000,0.069791
1398.893000,0.000710
1398.894000,0.003101
1398.895000,0.047900
1398.896000,-0.001643
1398.897000,-0.015456
1398.898000,0.020310
1398.899000,0.051891
1398.900000,0.030823
1398.901000,0.036593
1398.902000,0.035425
1398.903000,0.057090
1398.904000,-0.005448
1398.905000,0.089290
1398.906000,0.063805
1398.907000,-0.004962
1398.908000,-0.000483
1398.909000,-0.027378
1398.910000,-0.109304
1398.911000,-0.127957
1398.912000,-0.146656
1398.913000,-0.185215
1398.914000,-0.149759
1398.915000,-0.207847
1398.916000,-0.117698
1398.917000,-0.120316
1398.918000,-0.194899
1398.919000,-0.184706
1398.920000,-0.164288
1398.921000,-0.217372
1398.922000,-0.281141
1398.923000,-0.308861
1398.924000,-0.327759
1398.925000,-0.258271
1398.926000,-0.178667
1398.927000,-0.095011
1398.928000,-0.077779
1398.929000,-0.077079
1398.930000,-0.070082
1398.931000,-0.154703
1398.932000,-0.084645
1398.933000,-0.086178
1398.934000,-0.070723
1398.935000,0.004945
1398.936000,-0.075457
1398.937000,0.004898
1398.938000,-0.093406
1398.939000,-0.096499
1398.940000,-0.083012
1398.941000,-0.152293
1398.942000,-0.154038
1398.943000,-0.308515
1398.944000,-0.401054
1398.945000,-0.406084
1398.946000,-0.401897
1398.947000,-0.423027
1398.948000,-0.216336
1398.949000,-0.185907
1398.950000,-0.118928
1398.951000,-0.089775
1398.952000,-0.068568
1398.953000,-0.052063
1398.954000,-0.102745
1398.955000,-0.110766
1398.956000,-0.038975
1398.957000,-0.059946
1398.958000,-0.052064
1398.959000,-0.053150
1398.960000,-0.153449
1398.961000,-0.153174
1398.962000,-0.098218
1398.963000,-0.074598
1398.964000,0.041740
1398.965000,0.027607
1398.966000,-0.011574
1398.967000,0.073663
1398.968000,0.185159
1398.969000,0.173975
1398.970000,0.199620
1398.971000,0.232063
1398.972000,0.210728
1398.973000,0.181570
1398.974000,0.002281
1398.975000,-0.036650
1398.976000,-0.048885
1398.977000,-0.098142
1398.978000,-0.151344
1398.979000,-0.186729
1398.980000,-0.210782
1398.981000,-0.147930
1398.982000,-0.181677
1398.983000,-0.174884
1398.984000,-0.039995
1398.985000,-0.011592
1398.986000,0.005780
1398.987000,0.038671
1398.988000,0.027815
1398.989000,-0.043062
1398.990000,-0.061886
1398.991000,-0.027366
1398.992000,-0.052602
1398.993000,0.017498
1398.994000,0.070064
1398.995000,0.046566
1398.996000,0.031929
1398.997000,0.097249
1398.998000,0.078541
1398.999000,0.106191
1399.000000,0.049252
1399.001000,0.017672
1399.002000,0.089004
1399.003000,-0.024653
1399.004000,-0.057800
1399.005000,-0.105273
1399.006000,-0.074925
1399.007000,-0.133003
1399.008000,-0.155234
1399.009000,-0.140796
1399.010000,-0.064482
1399.011000,-0.016191
1399.012000,-0.001206
1399.013000,0.020261
1399.014000,0.016883
1399.015000,0.176463
1399.016000,0.156986
1399.017000,0.140573
1399.018000,0.042245
1399.019000,0.034193
1399.020000,0.040977
1399.021000,0.176128
1399.022000,0.173316
1399.023000,0.075562
1399.024000,0.174655
1399.025000,0.193808
1399.026000,0.262710
1399.027000,0.268998
1399.028000,0.282906
1399.029000,0.320502
1399.030000,0.334341
1399.031000,0.139521
1399.032000,0.166129
1399.033000,0.228765
1399.034000,0.214653
1399.035000,0.082394
1399.036000,0.088951
1399.037000,0.155114
1399.038000,0.046002
1399.039000,0.064304
1399.040000,-0.004620
1399.041000,0.035409
1399.042000,-0.052958
1399.043000,-0.011019
1399.044000,-0.075499
1399.045000,-0.158465
1399.046000,-0.123199
1399.047000,-0.075504
1399.048000,-0.083066
1399.049000,-0.025981
1399.050000,0.057140
1399.051000,-0.012917
1399.052000,-0.087822
1399.053000,-0.065613
1399.054000,-0.043257
1399.055000,-0.067358
1399.056000,-0.089761
1399.057000,-0.091215
1399.058000,-0.194343
1399.059000,-0.245429
1399.060000,-0.187521
1399.061000,-0.174386
1399.062000,-0.060143
1399.063000,-0.041521
1399.064000,-0.130593
1399.065000,-0.197931
1399.066000,-0.262581
1399.067000,-0.361020
1399.068000,-0.292297
1399.069000,-0.257352
1399.070000,-0.253065
1399.071000,-0.252904
1399.072000,-0.228628
1399.073000,-0.286830
1399.074000,-0.272992
1399.075000,-0.362765
1399.076000,-0.332086
1399.077000,-0.316454
1399.078000,-0.306927
1399.079000,-0.349704
1399.080000,-0.342920
1399.081000,-0.388268
1399.082000,-0.457112
1399.083000,-0.496749
1399.084000,-0.464389
1399.085000,-0.458760
1399.086000,-0.469721
1399.087000,-0.547604
1399.088000,-0.596831
1399.089000,-0.547590
1399.090000,-0.479208
1399.091000,-0.335127
1399.092000,-0.321838
1399.093000,-0.307673
1399.094000,-0.302227
1399.095000,-0.350729
1399.096000,-0.318610
1399.097000,-0.282688
1399.098000,-0.291504
1399.099000,-0.311231
1399.100000,-0.294755
1399.101000,-0.200939
1399.102000,-0.193709
1399.103000,-0.123008
1399.104000,-0.119189
1399.105000,-0.109361
1399.106000,0.001825
1399.107000,-0.024398
1399.108000,-0.033005
1399.109000,-0.077795
1399.110000,-0.126791
1399.111000,-0.154692
1399.112000,-0.047586
1399.113000,-0.056498
1399.114000,-0.168855
1399.115000,-0.139417
1399.116000,-0.122082
1399.117000,-0.095491
1399.118000,-0.186430
1399.119000,-0.231654
1399.120000,-0.233153
1399.121000,-0.309402
1399.122000,-0.336764
1399.123000,-0.352331
1399.124000,-0.318248
1399.125000,-0.288504
1399.126000,-0.384288
1399.127000,-0.421027
1399.128000,-0.397060
1399.129000,-0.397096
1399.130000,-0.492959
1399.131000,-0.455622
1399.132000,-0.498585
1399.133000,-0.550993
1399.134000,-0.567142
1399.135000,-0.613420
1399.136000,-0.507305
1399.137000,-0.507779
1399.138000,-0.430642
1399.139000,-0.411912
1399.140000,-0.551103
1399.141000,-0.474006
1399.142000,-0.454997
1399.143000,-0.408635
1399.144000,-0.367390
1399.145000,-0.521107
1399.146000,-0.410888
1399.147000,-0.349738
1399.148000,-0.313556
1399.149000,-0.393982
1399.150000,-0.422459
1399.151000,-0.392719
1399.152000,-0.392087
1399.153000,-0.327689
1399.154000,-0.318658
1399.155000,-0.305308
1399.156000,-0.258046
1399.157000,-0.287991
1399.158000,-0.291730
1399.159000,-0.339575
1399.160000,-0.255208
1399.161000,-0.254212
1399.162000,-0.225538
1399.163000,-0.297840
1399.164000,-0.151387
1399.165000,-0.139416
1399.166000,-0.110007
1399.167000,-0.125123
1399.168000,-0.081735
1399.169000,-0.009575
1399.170000,0.085435
1399.171000,0.085393
1399.172000,0.094666
1399.173000,0.029754
1399.174000,-0.051957
1399.175000,0.002363
1399.176000,-0.012850
1399.177000,-0.059733
1399.178000,-0.095050
1399.179000,-0.121319
1399.180000,-0.148394
1399.181000,-0.106781
1399.182000,-0.010714
1399.183000,-0.101225
1399.184000,-0.059792
1399.185000,-0.182427
1399.186000,-0.098967
1399.187000,-0.143671
1399.188000,-0.162344
1399.189000,-0.118040
1399.190000,-0.056674
1399.191000,-0.102632
1399.192000,-0.159036
1399.193000,-0.099572
1399.194000,-0.114195
1399.195000,-0.181343
1399.196000,-0.188489
1399.197000,-0.165339
1399.198000,-0.098690
1399.199000,-0.022604
1399.200000,-0.051487
1399.201000,-0.049287
1399.202000,-0.143502
1399.203000,-0.003874
1399.204000,0.018844
1399.205000,-0.060407
1399.206000,0.051827
1399.207000,0.159445
1399.208000,0.141800
1399.209000,0.107857
1399.210000,0.080745
1399.211000,0.014299
1399.212000,-0.012598
1399.213000,-0.038236
1399.214000,0.117658
1399.215000,0.131053
1399.216000,0.096966
1399.217000,0.038104
1399.218000,0.136149
1399.219000,0.173763
1399.220000,0.177132
1399.221000,0.226044
1399.222000,0.343656
1399.223000,0.303408
1399.224000,0.288830
1399.225000,0.336927
1399.226000,0.319799
1399.227000,0.320044
1399.228000,0.336372
1399.229000,0.286870
1399.230000,0.259328
1399.231000,0.228372
1399.232000,0.218368
1399.233000,0.244309
1399.234000,0.365674
1399.235000,0.321741
1399.236000,0.414273
1399.237000,0.456261
1399.238000,0.466360
1399.239000,0.383767
1399.240000,0.388049
1399.241000,0.437075
1399.242000,0.570613
1399.243000,0.569662
1399.244000,0.638645
1399.245000,0.566411
1399.246000,0.636442
1399.247000,0.603603
1399.248000,0.503989
1399.249000,0.519711
1399.250000,0.598243
1399.251000,0.618276
1399.252000,0.583212
1399.253000,0.652279
1399.254000,0.519604
1399.255000,0.490164
1399.256000,0.529336
1399.257000,0.387021
1399.258000,0.324175
1399.259000,0.250008
1399.260000,0.321226
1399.261000,0.318885
1399.262000,0.374331
1399.263000,0.418857
1399.264000,0.408437
1399.265000,0.313097
1399.266000,0.314206
1399.267000,0.322122
1399.268000,0.246018
1399.269000,0.224167
1399.270000,0.125316
1399.271000,0.051423
1399.272000,0.092586
1399.273000,0.093598
1399.274000,0.013335
1399.275000,0.129648
1399.276000,0.189679
1399.277000,0.171632
1399.278000,0.219246
1399.279000,0.369543
1399.280000,0.369748
1399.281000,0.303605
1399.282000,0.225546
1399.283000,0.251909
1399.284000,0.225074
1399.285000,0.184964
1399.286000,0.143715
1399.287000,0.124122
1399.288000,0.173727
1399.289000,0.164581
1399.290000,0.289092
1399.291000,0.246996
1399.292000,0.219093
1399.293000,0.220686
1399.294000,0.201361
1399.295000,0.181986
1399.296000,0.154654
1399.297000,0.175287
1399.298000,0.080568
1399.299000,-0.005574
1399.300000,-0.023109
1399.301000,-0.159720
1399.302000,-0.136225
1399.303000,-0.188231
1399.304000,-0.157624
1399.305000,-0.055003
1399.306000,-0.052046
1399.307000,-0.039569
1399.308000,-0.064562
1399.309000,-0.043297
1399.310000,0.027514
1399.311000,-0.012369
1399.312000,-0.058794
1399.313000,0.018658
1399.314000,-0.019262
1399.315000,-0.096106
1399.316000,-0.042480
1399.317000,-0.027139
1399.318000,-0.039328
1399.319000,-0.041186
1399.320000,-0.101660
1399.321000,-0.129909
1399.322000,-0.080924
1399.323000,-0.046338
1399.324000,-0.103413
1399.325000,-0.106909
1399.326000,-0.105908
1399.327000,-0.138312
1399.328000,-0.086680
1399.329000,-0.041089
1399.330000,0.001226
1399.331000,-0.069550
1399.332000,-0.139380
1399.333000,-0.051580
1399.334000,-0.146449
1399.335000,-0.097751
1399.336000,-0.010946
1399.337000,0.035889
1399.338000,0.041119
1399.339000,-0.151401
1399.340000,-0.195636
1399.341000,-0.181440
1399.342000,-0.078755
1399.343000,-0.024154
1399.344000,0.016655
1399.345000,0.040713
1399.346000,0.091601
1399.347000,0.048026
1399.348000,-0.048949
1399.349000,0.057017
1399.350000,0.049832
1399.351000,0.015327
1399.352000,0.024759
1399.353000,0.005842
1399.354000,-0.060649
1399.355000,-0.042048
1399.356000,-0.041257
1399.357000,-0.123908
1399.358000,-0.052387
1399.359000,-0.086188
1399.360000,-0.119091
1399.361000,-0.037809
1399.362000,-0.075193
1399.363000,-0.009847
1399.364000,-0.004865
1399.365000,-0.078952
1399.366000,-0.138259
1399.367000,-0.085886
1399.368000,0.001626
1399.369000,-0.082488
1399.370000,-0.069319
1399.371000,-0.096704
1399.372000,-0.164708
1399.373000,-0.055823
1399.374000,-0.039236
1399.375000,-0.016315
1399.376000,-0.091743
1399.377000,-0.213591
1399.378000,-0.165173
1399.379000,-0.079841
1399.380000,-0.099739
1399.381000,-0.097683
1399.382000,-0.144364
1399.383000,-0.136538
1399.384000,-0.076444
1399.385000,-0.048665
1399.386000,-0.006586
1399.387000,0.007347
1399.388000,-0.035793
1399.389000,0.045256
1399.390000,0.035372
1399.391000,0.019107
1399.392000,0.016269
1399.393000,0.035329
1399.394000,0.114411
1399.395000,0.093912
1399.396000,0.128608
1399.397000,0.062262
1399.398000,0.063934
1399.399000,0.126765
1399.400000,0.106744
1399.401000,0.196930
1399.402000,0.173817
1399.403000,0.141710
1399.404000,0.242751
1399.405000,0.235366
1399.406000,0.198632
1399.407000,0.221120
1399.408000,0.238604
1399.409000,0.283808
1399.410000,0.351579
1399.411000,0.458760
1399.412000,0.506845
1399.413000,0.606717
1399.414000,0.693592
1399.415000,0.690948
1399.416000,0.685705
1399.417000,0.781595
1399.418000,0.832726
1399.419000,0.727348
1399.420000,0.690517
1399.421000,0.732096
1399.422000,0.698668
1399.423000,0.713230
1399.424000,0.676383
1399.425000,0.651620
1399.426000,0.632586
1399.427000,0.612525
1399.428000,0.509944
1399.429000,0.503907
1399.430000,0.457072
1399.431000,0.332348
1399.432000,0.462039
1399.433000,0.400129
1399.434000,0.431271
1399.435000,0.404716
1399.436000,0.419234
1399.437000,0.393279
1399.438000,0.492954
1399.439000,0.526149
1399.440000,0.568626
1399.441000,0.543821
1399.442000,0.544212
1399.443000,0.610189
1399.444000,0.681418
1399.445000,0.751646
1399.446000,0.791664
1399.447000,0.731397
1399.448000,0.642390
1399.449000,0.595078
1399.450000,0.473028
1399.451000,0.371940
1399.452000,0.304798
1399.453000,0.267762
1399.454000,0.153687
1399.455000,0.180178
1399.456000,0.165094
1399.457000,0.150971
1399.458000,0.044617
1399.459000,0.028507
1399.460000,-0.089399
1399.461000,-0.039479
1399.462000,0.072377
1399.463000,0.064847
1399.464000,0.113774
1399.465000,0.039700
1399.466000,0.095068
1399.467000,-0.002790
1399.468000,0.102350
1399.469000,0.067192
1399.470000,0.083355
1399.471000,0.038103
1399.472000,-0.090271
1399.473000,-0.012658
1399.474000,0.038325
1399.475000,-0.029676
1399.476000,-0.122317
1399.477000,-0.055858
1399.478000,-0.108041
1399.479000,-0.033510
1399.480000,-0.059771
1399.481000,-0.163155
1399.482000,-0.076890
1399.483000,-0.087416
1399.484000,-0.081176
1399.485000,-0.043013
1399.486000,-0.100920
1399.487000,-0.067263
1399.488000,-0.029347
1399.489000,-0.001068
1399.490000,0.145069
1399.491000,0.126086
1399.492000,0.042437
1399.493000,-0.076091
1399.494000,-0.059851
1399.495000,-0.028435
1399.496000,-0.020402
1399.497000,-0.139635
1399.498000,-0.156474
1399.499000,-0.124137
1399.500000,-0.181382
1399.501000,-0.236396
1399.502000,-0.320460
1399.503000,-0.374203
1399.504000,-0.420219
1399.505000,-0.494522
1399.506000,-0.515441
1399.507000,-0.603784
1399.508000,-0.641320
1399.509000,-0.581748
1399.510000,-0.667067
1399.511000,-0.691269
1399.512000,-0.695552
1399.513000,-0.711786
1399.514000,-0.687775
1399.515000,-0.678649
1399.516000,-0.700477
1399.517000,-0.613159
1399.518000,-0.653114
1399.519000,-0.746593
1399.520000,-0.706358
1399.521000,-0.787207
1399.522000,-0.796173
1399.523000,-0.713501
1399.524000,-0.698722
1399.525000,-0.687667
1399.526000,-0.791318
